url,region,condition,rooms,rent,year_construction,space,cold_rent,utilities,heating_costs,security_deposit,parking_space,renovated_date,property_condition,furnishing,heating_type,energy_sources,energy_certificate,type_of_certificate,energy_requirement,efficiency_class,tags
https://www.immobilienscout24.de/expose/116372314,Neukölln,need_of_renovation,3,885.68,1973,76,"605,68€",+200€,+80€,Drei,,,Needs Renovation,Normale Qualität,District Heating,Fernwärme Energieausweis liegt vor,liegt vor,"Verbrauchsausweis Energie­ver­brauchs­kennwert 112,9 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116371263,Neukölln,well_kept,3,656.1,1971,69,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116365810,Charlottenburg,mint_condition,1,1007,1906,46,824€,+183€,in,2472,,2018,Mint Condition,Gehobene Qualität,Central Heating,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116371693,Neukölln,well_kept,1.5,489.07,1972,48,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116566062,Mitte,mint_condition,4,4600,2013,160,4.00€,+600€,in,"12.000,00",,,Mint Condition,,Underfloor Heating,,liegt vor,Bedarfsausweis,76 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116368420,Mitte,mint_condition,3,2450,2017,94,2.10€,+350€,in,"6.300,00",150€,,Mint Condition,,Underfloor Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,"70,8 kWh/(m²*a)",B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115962596,Köpenick,well_kept,2,649,1997,56,529€,+60€,+60€,3,,,Groomed,Normale Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,"Verbrauchsausweis Energie­ver­brauchs­kennwert 98,5 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115958728,Charlottenburg,mint_condition,4,2148,2016,118.68,1.80€,+350€,inkl.,"5.394,00€",,,Mint Condition,,Central Heating,,liegt zur Besichtigung vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116139053,Mitte,well_kept,3,1639,2014,96,1.40€,+240€,in,"4.197,00",120€,,Groomed,,Underfloor Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,65 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115964864,Köpenick,well_kept,3,909,1997,76,749€,+80€,+80€,3,,,Groomed,Normale Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,"Verbrauchsausweis Energie­ver­brauchs­kennwert 98,5 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115948985,Neukölln,well_kept,3,565.63,1900,64,"445,63€",+120€,nicht,3,,,Groomed,Normale Qualität,Floor Heating,Erdgas schwer Energieausweis liegt vor,liegt vor,Bedarfsausweis,"135,9 kWh/(m²*a)",,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115963637,Köpenick,well_kept,3,889,1997,74,729€,+80€,+80€,3,,,Groomed,Normale Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,"Verbrauchsausweis Energie­ver­brauchs­kennwert 98,5 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115422811,Wilmersdorf,first_time_use,2,1800,2019,68,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115094479,Mitte,mint_condition,2,1615,2013,70,1.37€,+250€,in,3,110€,2016,Mint Condition,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,68 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115638939,Wedding,no_information,1,352.95,1910,32,"272,95€",+60€,+20€,3,,,,Normale Qualität,Central Heating,KWK fossil Energieausweis liegt vor,liegt vor,Bedarfsausweis,"163,5 kWh/(m²*a)",,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115627164,Mitte,first_time_use_after_refurbishment,2,2997,2017,133.19,,,,,,,After Renovation,Luxus,Central Heating,,liegt vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
